Puzzle Wizard,퍼즐 위저드
First Steps,첫 발걸음
Color Swap,컬러 스왑
Color Shield,컬러 방패
Conveyor Belt,컨베이어 벨트
Rotator,로테이터
Color Flood,컬러 플러드
White Tile,화이트 타일
Mirror Image,미러 이미지
Color Swirl,컬러 스월
Tile Swap,타일 스왑
Color Magic,컬러 매직
Wizard,마법사
Yellow Brick Road,노란 벽돌길
Coat of Arms,문장
Evil Sunflower,못된 해바라기
Oasis,오아시스
Team Colors,팀 컬러
Jack-o'-Lantern,잭오랜턴
River Crossing,강 건너기
Intersection,교차로
City Skyline,도시 스카이라인
Rainbow,무지개
A Bridge Too Far,머나먼 다리
Tapestry,태피스트리
The Key Within,숨겨진 열쇠
Life Buoy,구명 부표
Apple,사과
Mineshaft,갱도
The Empire,제국
Retro Gamer,레트로 게이머
Roswell,로즈웰
X Marks the Spot,보물 있는 곳
Ravine,협곡
Butterfly,나비
The Plumber,배관공
Falling Blocks,떨어지는 벽돌
Castle Capers,캐슬 케이퍼
The Vault,금고
Anchored,닻
Yin and Yang,음과 양
Green Fin,녹색 지느러미
Palace Gardens,왕실 정원
Turtle,거북이
Pipes,파이프
Valentine,발렌타인
Musical,뮤지컬
Patchwork Quilt,패치워크 킬트
Ballpark,야구장
My Precious,소중한 나의 것
Acid Rain,산성비
Potion,포션
Cup o' Joe,커피
Clown Face,광대 얼굴
Ice Cream Sundae,아이스크림 선데
Opposites Attract,반대의 끌림
He Slimed Me,유령
Hourglass,모래시계
Swedish Cloth,스웨덴 스타일
Bullseye,과녁의 중앙
Time Travel,시간여행
Sandpit,모래밭
Lily Pads,백합 정원
Bikini,비키니
Wristwatch,손목시계
Humble Abode,아늑한 우리집
Dojo,도장
The Four Pillars,네 개의 기둥
Downstream,하류
Kaleidoscope,만화경
Woven,바느질
Trojan Horse,트로이의 목마
Bow Tie,보우타이
Jigsaw,직소
Blue Pill Red Pill,파란 약 빨간 약
Greener Pastures,푸르른 초원
The Pit,구덩이
Smiley,스마일리
Par 5,파 5
Martini,마티니
Red Door,빨간 문
Fortune Cookie,포춘 쿠키
Giraffe,기린
Propeller,프로펠러
Emerald Stairway,에메랄드 계단
Resume,계속
Options,옵션
Credits,제작자 정보
Exit Game,게임 종료
Reset Puzzle,퍼즐 초기화
Puzzle Menu,퍼즐 메뉴
Level Menu,레벨 메뉴
back,뒤로
Back, 뒤로 
Congratulations!,축하합니다!
New level unlocked!,새 레벨 열림!
Level,레벨 
Completed,완료
Master of Color,컬러 마스터
Yay,야호!
OK,확인
Yes,예
No,아니오
Unlock with,개 필요
in ,에서 
Total Progress:,전체 진행률:
Next Unsolved Puzzle,다음 미해결 퍼즐
? moves remaining,남은 이동 ? 회
? move remaining,남은 이동 ? 회
Game Design,게임 디자인
Code,코드
Art,비주얼 아트
Sound Design,사운드 디자인
UI Design,UI 디자인
QA Lead,QA 리드
a game by,게임 제작:
Adrian McPhee,Adrian McPhee
Paul McPhee,Paul McPhee
Chen Shin,Chen Shin
Dean Spencer,Dean Spencer
Talia Tsur,Talia Tsur
Daniel Beck,Daniel Beck
Cheeky Mammoth,Cheeky Mammoth
"The tale of room 620"^Ehren Starks & Kate Gurba,"The tale of room 620"^Ehren Starks & Kate Gurba
"Sunset in Pensacola"^Ehren Starks & Kate Gurba,"Sunset in Pensacola"^Ehren Starks & Kate Gurba
"Slippolska"^Erik Ask Upmark,"Slippolska"^Erik Ask Upmark
"Florellen"^Erik Ask Upmark,"Florellen"^Erik Ask Upmark
"Blekingarna"^Erik Ask Upmark,"Blekingarna"^Erik Ask Upmark
"Virgin Light"^Cheryl Ann Fulton,"Virgin Light"^Cheryl Ann Fulton
"Hidden Sky"^Jami Sieber,"Hidden Sky"^Jami Sieber
Keep new display^settings?,새 화면 설정을 유지할까요?
Reverting in ? seconds,?초 후 원래 설정으로 돌아갑니다
Are you sure?,확실한가요?
Language,언어
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
/,/
:,:
.,.
!,!
?,?
(,(
),)
 , 
Music,음악
Sfx,음향 효과
Color Blind Mode: On,색맹 모드: 켜기
Color Blind Mode: Off,색맹 모드: 끄기
Display,화면 모드
Windowed,윈도우 모드
Fullscreen,전체 화면
Buy Now,지금 구매
Demo,데모
Buy the full version for access to all^12 levels and a chance to join a select^group of master puzzlers who have^conquered the challenges of^Puzzle Wizard.,풀 버전을 구매하시면 12개 레벨 전체를 플레이하실 수^있으며, 퍼즐 위저드의 세계를 정복한 컬러 마스터 퍼즐^고수들과 어깨를 나란히 하실 수 있습니다.
