Puzzle Wizard,谜题巫师
First Steps,初踏征途
Color Swap,颜色交换
Color Shield,颜色盾牌
Conveyor Belt,传送履带
Rotator,旋转机器
Color Flood,彩色血液
White Tile,白色瓦片
Mirror Image,镜面影像
Color Swirl,颜色漩涡
Tile Swap,瓦片交换
Color Magic,颜色魔术
Wizard,巫师
Yellow Brick Road,黄砖小路
Coat of Arms,盾形纹章
Evil Sunflower,邪恶向日葵
Oasis,沙漠绿洲
Team Colors,球队颜色
Jack-o'-Lantern,万圣南瓜灯
River Crossing,跨越河流
Intersection,道路交汇
City Skyline,城市天际
Rainbow,绚丽彩虹
A Bridge Too Far,夺桥遗恨
Tapestry,织锦挂毯
The Key Within,内部金钥
Life Buoy,美丽救生圈
Apple,大红苹果
Mineshaft,宝藏矿井
The Empire,神秘帝国
Retro Gamer,复古游戏
Roswell,罗斯维尔
X Marks the Spot,刻舟求鱼
Ravine,山涧峡谷
Butterfly,美丽蝴蝶
The Plumber,曲折管道
Falling Blocks,掉落积木
Castle Capers,城堡英雄
The Vault,秘密金库
Anchored,金色巨锚
Yin and Yang,阴阳和谐
Green Fin,绿色鱼鳍
Palace Gardens,宫殿花园
Turtle,巨型海龟
Pipes,九曲管道
Valentine,甜蜜情人节
Musical,律动音符
Patchwork Quilt,拼布床单
Ballpark,活力球场
My Precious,我的宝贝
Acid Rain,苦涩酸雨
Potion,魔力药水
Cup o' Joe,香浓咖啡
Clown Face,小丑鬼脸
Ice Cream Sundae,圣代冰激凌
Opposites Attract,异性相吸
He Slimed Me,鬼
Hourglass,计时沙漏
Swedish Cloth,瑞典国旗
Bullseye,射击靶心
Time Travel,时光旅行
Sandpit,黄色沙坑
Lily Pads,睡莲浮叶
Bikini,性感比基尼
Wristwatch,酷酷手表
Humble Abode,寒舍蜗居
Dojo,武士道场
The Four Pillars,四大支柱
Downstream,顺流而下
Kaleidoscope,五彩万花筒
Woven,纵横编织
Trojan Horse,特洛伊木马
Bow Tie,蝶形领结
Jigsaw,犬牙交错
Blue Pill Red Pill,红蓝药片
Greener Pastures,胜券在握
The Pit,危险深坑
Smiley,灿烂笑脸
Par 5,5 杆球洞
Martini,马提尼酒
Red Door,红色大门
Fortune Cookie,幸运饼干
Giraffe,可爱长颈鹿
Propeller,强力螺旋桨
Emerald Stairway,翡翠楼梯
Resume,恢复
Options,选项
Credits,积分
Exit Game,退出游戏
Reset Puzzle,重置谜题
Puzzle Menu,谜题菜单
Level Menu,级别菜单
back,后退
Back, 后退 
Congratulations!,恭喜！
New level unlocked!,已解锁新的级别！
Level,级别
Completed,已完成
Master of Color,颜色大师
Yay,太棒了
OK,好
Yes,是
No,否
Unlock with,解锁需要
in ,在 
Total Progress:,总进度：
Next Unsolved Puzzle,下一个未解答的谜题
? moves remaining,还剩 ? 步
? move remaining,还剩 ? 步
Game Design,游戏设计
Code,代码
Art,艺术
Sound Design,音效设计
UI Design,用户界面设计
QA Lead,精彩游戏业界领先
a game by,游戏开发商
Adrian McPhee,Adrian McPhee
Paul McPhee,Paul McPhee
Chen Shin,Chen Shin
Dean Spencer,Dean Spencer
Talia Tsur,Talia Tsur
Daniel Beck,Daniel Beck
Cheeky Mammoth,Cheeky Mammoth
"The tale of room 620"^Ehren Starks & Kate Gurba,"The tale of room 620"^Ehren Starks & Kate Gurba
"Sunset in Pensacola"^Ehren Starks & Kate Gurba,"Sunset in Pensacola"^Ehren Starks & Kate Gurba
"Slippolska"^Erik Ask Upmark,"Slippolska"^Erik Ask Upmark
"Florellen"^Erik Ask Upmark,"Florellen"^Erik Ask Upmark
"Blekingarna"^Erik Ask Upmark,"Blekingarna"^Erik Ask Upmark
"Virgin Light"^Cheryl Ann Fulton,"Virgin Light"^Cheryl Ann Fulton
"Hidden Sky"^Jami Sieber,"Hidden Sky"^Jami Sieber
Keep new display^settings?,保留新的显示设置？
Reverting in ? seconds,? 秒后还原
Are you sure?,您确定吗？
Language,语言
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
/,/
:,:
.,.
!,!
?,?
(,(
),)
 , 
Music,音乐
Sfx,音效
Color Blind Mode: On,无色模式 : 打开
Color Blind Mode: Off,无色模式 : 关闭
Display,显示
Windowed,窗口显示
Fullscreen,全屏显示
Buy Now,立即购买
Demo,演示
Buy the full version for access to all^12 levels and a chance to join a select^group of master puzzlers who have^conquered the challenges of^Puzzle Wizard.,购买完整版 可玩所有 12 个级别^并有机会成为解答出“谜题巫师”^所有谜题的谜题大师。
