Puzzle Wizard,Mago dei Rompicapi
First Steps,Primi Passi
Color Swap,Scambiacolore
Color Shield,Cromoscudo
Conveyor Belt,Nastro trasport
Rotator,Motorino
Color Flood,Ondata colorata
White Tile,Tessera bianca
Mirror Image,Immagine riflessa
Color Swirl,Vortice di colori
Tile Swap,Scambiatessere
Color Magic,Magia cromatica
Wizard,Mago
Yellow Brick Road,Strada di mattoni gialli
Coat of Arms,Stemma
Evil Sunflower,Girasole malvagio
Oasis,Oasi
Team Colors,Colori di squadra
Jack-o'-Lantern,Zucca di Halloween
River Crossing,Guado del fiume
Intersection,Intersezione
City Skyline,Skyline cittadino
Rainbow,Arcobaleno
A Bridge Too Far,Quell'ultimo ponte
Tapestry,Arazzo
The Key Within,La chiave
Life Buoy,Salvagente
Apple,Mela
Mineshaft,Pozzo di miniera
The Empire,L'Impero
Retro Gamer,Giochi passati
Roswell,Avvistamenti
X Marks the Spot,La X è il punto giusto
Ravine,Burrone
Butterfly,Farfalla
The Plumber,L'idraulico
Falling Blocks,Caduta massi
Castle Capers,Tutti al castello!
The Vault,La cripta
Anchored,L'ancora
Yin and Yang,Yin e Yang
Green Fin,Pinna verde
Palace Gardens,Giardini reali
Turtle,Tartaruga
Pipes,Tubi
Valentine,San Valentino
Musical,Musical
Patchwork Quilt,Patchwork
Ballpark,Baseball
My Precious,Il mio tesoro
Acid Rain,Pioggia acida
Potion,Pozione
Cup o' Joe,Caffè
Clown Face,Faccia da clown
Ice Cream Sundae,Un buon gelato
Opposites Attract,Attrazione
He Slimed Me,Fantasma
Hourglass,Clessidra
Swedish Cloth,Svezia
Bullseye,Bersaglio
Time Travel,Viaggio temporale
Sandpit,Sabbiera
Lily Pads,Ninfee
Bikini,Bikini
Wristwatch,Orologio
Humble Abode,Umile dimora
Dojo,Dojo
The Four Pillars,Quattro colonne
Downstream,Il fiume
Kaleidoscope,Caleidoscopio
Woven,Trama di maglia
Trojan Horse,Cavallo di Troia
Bow Tie,Papillon
Jigsaw,Incastri
Blue Pill Red Pill,Pillola rossa o azzurra
Greener Pastures,Verdi pascoli
The Pit,La fossa
Smiley,Sorridi!
Par 5,Par 5
Martini,Cocktail
Red Door,La porta rossa
Fortune Cookie,Biscotto della fortuna
Giraffe,Giraffa
Propeller,Elica
Emerald Stairway,Scala di smeraldo
Resume,Riprendi
Options,Opzioni
Credits,Riconoscimenti
Exit Game,Abbandona
Reset Puzzle,Ripristina rompicapo
Puzzle Menu,Menu rompicapo
Level Menu,Menu livello
back,indietro
Back,Indietro
Congratulations!,Congratulazioni!
New level unlocked!,Nuovo livello sbloccato!
Level,Livello
Completed,completato
Master of Color,Maestro dei colori
Yay,Grande!
OK,OK
Yes,Sì
No,No
Unlock with,Sblocca con
in ,in 
Total Progress:,Progressi totali:
Next Unsolved Puzzle,Prossimo rompicapo da risolvere
? moves remaining,? mosse rimaste
? move remaining,? mosse rimaste
Game Design,Progettazione
Code,Programmazione
Art,Grafica
Sound Design,Progettazione audio
UI Design,Progettazione interfaccia
QA Lead,Responsabile CQ
a game by,un gioco di
Adrian McPhee,Adrian McPhee
Paul McPhee,Paul McPhee
Chen Shin,Chen Shin
Dean Spencer,Dean Spencer
Talia Tsur,Talia Tsur
Daniel Beck,Daniel Beck
Cheeky Mammoth,Cheeky Mammoth
"The tale of room 620"^Ehren Starks & Kate Gurba,"The tale of room 620"^Ehren Starks & Kate Gurba
"Sunset in Pensacola"^Ehren Starks & Kate Gurba,"Sunset in Pensacola"^Ehren Starks & Kate Gurba
"Slippolska"^Erik Ask Upmark,"Slippolska"^Erik Ask Upmark
"Florellen"^Erik Ask Upmark,"Florellen"^Erik Ask Upmark
"Blekingarna"^Erik Ask Upmark,"Blekingarna"^Erik Ask Upmark
"Virgin Light"^Cheryl Ann Fulton,"Virgin Light"^Cheryl Ann Fulton
"Hidden Sky"^Jami Sieber,"Hidden Sky"^Jami Sieber
Keep new display^settings?,Confermare le nuove impostazioni^di visualizzazione?
Reverting in ? seconds,Annullamento tra ? secondi
Are you sure?,Procedere?
Language,Lingua
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
/,/
:,:
.,.
!,!
?,?
(,(
),)
 , 
Music,Musica
Sfx,Effetti
Color Blind Mode: On,Modalità Daltonici: On
Color Blind Mode: Off,Modalità Daltonici: Off
Display,Display
Windowed,A finestra
Fullscreen,Schermo intero
Buy Now,Acquista ora
Demo,Demo
Buy the full version for access to all^12 levels and a chance to join a select^group of master puzzlers who have^conquered the challenges of^Puzzle Wizard.,Acquista la versione completa per accedere^a tutti i 12 livelli e avere la possibilità di entrare^a far parte di un'élite di maestri dei rompicapi^che hanno superato le sfide^di Mago dei Rompicapi.
