Puzzle Wizard,パズルウィザード
First Steps,ファーストステップ
Color Swap,カラースワップ
Color Shield,カラーシールド
Conveyor Belt,コンベアベルト
Rotator,ローテーター
Color Flood,カラーフラッド
White Tile,ホワイトタイル
Mirror Image,ミラーイメージ
Color Swirl,カラースワール
Tile Swap,タイルスワップ
Color Magic,カラーマジック
Wizard,ウィザード
Yellow Brick Road,イエローブリックロード
Coat of Arms,紋章
Evil Sunflower,邪悪なヒマワリ
Oasis,オアシス
Team Colors,チームカラー
Jack-o'-Lantern,ジャックランタン
River Crossing,渡河
Intersection,交差点
City Skyline,都市のスカイライン
Rainbow,虹
A Bridge Too Far,遠すぎた橋
Tapestry,タペストリー
The Key Within,中にある鍵
Life Buoy,救命浮き輪
Apple,リンゴ
Mineshaft,坑道
The Empire,帝国
Retro Gamer,レトロ・ゲーマー
Roswell,ロズウェル
X Marks the Spot,X 印をみつけよう
Ravine,峡谷
Butterfly,チョウ
The Plumber,配管工
Falling Blocks,落下ブロック
Castle Capers,お城泥棒
The Vault,金庫
Anchored,アンカー
Yin and Yang,陰陽
Green Fin,緑の羽根
Palace Gardens,宮殿の庭
Turtle,カメ
Pipes,パイプ
Valentine,バレンタイン
Musical,ミュージカル
Patchwork Quilt,パッチワーク・キルト
Ballpark,球場
My Precious,愛しいシト
Acid Rain,酸性雨
Potion,ポーション
Cup o' Joe,コーヒーカップ
Clown Face,ピエロの顔
Ice Cream Sundae,アイスクリーム・サンデー
Opposites Attract,反対ものは引き合う
He Slimed Me,幽霊
Hourglass,砂時計
Swedish Cloth,スウェーデン国旗
Bullseye,ブルズアイ
Time Travel,タイムトラベル
Sandpit,砂場
Lily Pads,スイレン
Bikini,ビキニ
Wristwatch,腕時計
Humble Abode,質素な住居
Dojo,道場
The Four Pillars,4 本の柱
Downstream,ダウンストリーム
Kaleidoscope,万華鏡
Woven,織物
Trojan Horse,トロイの木馬
Bow Tie,蝶ネクタイ
Jigsaw,ジグソー
Blue Pill Red Pill,青い錠剤と赤い錠剤
Greener Pastures,明るい展望
The Pit,落とし穴
Smiley,スマイリー
Par 5,パー 5
Martini,マティーニ
Red Door,赤いドア
Fortune Cookie,フォーチュンクッキー
Giraffe,キリン
Propeller,プロペラ
Emerald Stairway,エメラルド階段
Resume,再開
Options,オプション
Credits,謝辞
Exit Game,ゲームを終了
Reset Puzzle,パズルをリセット
Puzzle Menu,パズルメニュー
Level Menu,レベルメニュー
back,戻る
Back, 戻る 
Congratulations!,おめでとうございます！
New level unlocked!,新しいレベルがアンロックされました！
Level,レベル
Completed,完了済み
Master of Color,色の名人
Yay,すごい
OK,OK
Yes,はい
No,いいえ
Unlock with,鍵 
in ,本でアンロックしますでは 
Total Progress:,全体の進捗状況：
Next Unsolved Puzzle,次の未解決のパズル
? moves remaining,移動残り ? 回
? move remaining,移動残り ? 回
Game Design,ゲームデザイン
Code,コード
Art,アート
Sound Design,音響デザイン
UI Design,ユーザーインターフェイスデザイン
QA Lead,品質保証リード
a game by,ゲーム制作
Adrian McPhee,Adrian McPhee
Paul McPhee,Paul McPhee
Chen Shin,Chen Shin
Dean Spencer,Dean Spencer
Talia Tsur,Talia Tsur
Daniel Beck,Daniel Beck
Cheeky Mammoth,Cheeky Mammoth
"The tale of room 620"^Ehren Starks & Kate Gurba,"The tale of room 620"^Ehren Starks & Kate Gurba
"Sunset in Pensacola"^Ehren Starks & Kate Gurba,"Sunset in Pensacola"^Ehren Starks & Kate Gurba
"Slippolska"^Erik Ask Upmark,"Slippolska"^Erik Ask Upmark
"Florellen"^Erik Ask Upmark,"Florellen"^Erik Ask Upmark
"Blekingarna"^Erik Ask Upmark,"Blekingarna"^Erik Ask Upmark
"Virgin Light"^Cheryl Ann Fulton,"Virgin Light"^Cheryl Ann Fulton
"Hidden Sky"^Jami Sieber,"Hidden Sky"^Jami Sieber
Keep new display^settings?,ディスプレイの新設定を保持しますか？
Reverting in ? seconds,? 秒後に元に戻ります。
Are you sure?,本当によろしいですか？
Language,言語
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
/,/
:,:
.,.
!,!
?,?
(,(
),)
 , 
Music,ミュージック
Sfx,効果音
Color Blind Mode: On,色盲モード: オン
Color Blind Mode: Off,色盲モード: オフ
Display,ディスプレイ
Windowed,ウィンドウ表示
Fullscreen,フルスクリーン
Buy Now,今すぐ購入
Demo,デモ
Buy the full version for access to all^12 levels and a chance to join a select^group of master puzzlers who have^conquered the challenges of^Puzzle Wizard.,全 12 レベルにアクセスし、^パズルウィザード^のチャレンジを征服したパズルの^マスターに名を連ねるには、^フルバージョンを購入してください。
